Program,CFDA,Agency,FY2017Expenditures,Category,,
ACL Assistive Technology State Grants for Protection and Advocacy,93.843,HHS,"$4,450,000 ",Financial Assistance Programs,,
State Grants for Protection and Advocacy Services,93.873,HHS,"$3,100,000 ",Financial Assistance Programs,,
"Autism Collaboration, Accountability, Research, Education, and Support",93.877,HHS,"$3,548,000 ",Financial Assistance Programs,,
Grants for Primary Care Training and Enhancement,93.884,HHS,"$33,691,000 ",Financial Assistance Programs,,
Nurse Corps Loan Repayment Program,93.908,HHS,"$48,870,000 ",Financial Assistance Programs,,
"Rural Health Care Services Outreach, Rural Health Network Development and Small Health Care Provider Quality Improvement Program",93.912,HHS,"$77,914,000 ",Financial Assistance Programs,,
Grants to States for Operation of State Offices of Rural Health,93.913,HHS,"$8,588,000 ",Financial Assistance Programs,,
HIV Emergency Relief Project Grants,93.914,HHS,"$624,346,000 ",Financial Assistance Programs,,
Disadvantaged Health Professions Faculty Loan Repayment Program,93.923,HHS,"$1,094,000 ",Financial Assistance Programs,,
Scholarships for Health Professions Students from Disadvantaged Backgrounds,93.925,HHS,"$43,120,000 ",Financial Assistance Programs,,
Healthy Start Initiative,93.926,HHS,"$102,974,000 ",Financial Assistance Programs,,
Block Grants for Community Mental Health Services,93.958,HHS,"$504,664,000 ",Financial Assistance Programs,,
Block Grants for the Prevention and Treatment of Substance Abuse,93.959,HHS,"$1,759,816,000 ",Financial Assistance Programs,,
Maternal and Child Health Services Block Grant to the States,93.994,HHS,"$545,235,000 ",Financial Assistance Programs,,
State Commissions,94.003,CNCS,"$128,805,000 ",Financial Assistance Programs,,
AmeriCorps,94.006,CNCS,"$228,724,000 ",Financial Assistance Programs,,
Volunteers in Service to America,94.013,CNCS,"$92,364,000 ",Financial Assistance Programs,,
Non-Profit Security Program,97.008,DHS,"$60,000,000 ",Financial Assistance Programs,,
Flood Insurance,97.022,DHS,"$17,706,000 ",Financial Assistance Programs,,
Emergency Food and Shelter National Board Program,97.024,DHS,"$120,000,000 ",Financial Assistance Programs,,
Emergency Management Performance Grants,97.042,DHS,"$350,100,000 ",Financial Assistance Programs,,
Assistance to Firefighters Grant,97.044,DHS,"$310,500,000 ",Financial Assistance Programs,,
Fire Management Assistance Grant,97.046,DHS,"$56,000,000",Financial Assistance Programs,,
Pre-Disaster Mitigation,97.047,DHS,"$61,447,000 ",Financial Assistance Programs,,
Intercity Bus Security Grants,97.057,DHS,"$2,000,000 ",Financial Assistance Programs,,
Homeland Security Grant Program,97.067,DHS,"$1,067,000,000 ",Financial Assistance Programs,,
Rail and Transit Security Grant Program,97.075,DHS,"$10,000,000 ",Financial Assistance Programs,,
National School Lunch Program,10.555,USDA,"$3,939,947,000 ",Required State Match or Payment,,
Child Care Mandatory and Matching Funds,93.596,HHS,"$1,152,039,000 ",Required State Match or Payment,,
Medicaid Part D Clawback,93.778,HHS,"$11,406,000,000 ",Required State Match or Payment,,
Low Income Housing Tax Credit,NA,other,"$8,310,000,000",Federal Tax Expenditures,,
Recovery Zone Bonds,NA,other,"$420,000,000 ",Federal Tax Expenditures,,
New Markets Tax Credit,NA,other,"$3,500,000,000 ",Federal Tax Expenditures,,
Work Opportunity Tax Credit,NA,other,"$1,320,000,000 ",Federal Tax Expenditures,,
Interest Exclusion Owner-occupied Mortgage Subsidy Bonds,NA,other,"$1,060,000,000 ",Federal Tax Expenditures,,
Film and TV Production Credit,NA,other,"$200,000,000 ",Federal Tax Expenditures,,
Empowerment Zones,NA,other,"$110,000,000 ",Federal Tax Expenditures,,
HUBZones Program,NA,other,"$7,530,000,000",Federal Procurement Programs,,
