County,State,COUNTY_STATE,2019 County Designation,2018 County Designation,Specialty,2019 Distance (miles),2019 Time (minutes),2018 Distance (miles),2018 Time (minutes),Reason for Change,Time change,Distance change
Ceiba,PR,"Ceiba, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Ciales,PR,"Ciales, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Comerio,PR,"Comerio, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Corozal,PR,"Corozal, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Florida,PR,"Florida, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Guanica,PR,"Guanica, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Guayama,PR,"Guayama, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Hatillo,PR,"Hatillo, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Isabela,PR,"Isabela, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Lajas,PR,"Lajas, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Lares,PR,"Lares, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Luquillo,PR,"Luquillo, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Manati,PR,"Manati, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Maunabo,PR,"Maunabo, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Moca,PR,"Moca, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Morovis,PR,"Morovis, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Naguabo,PR,"Naguabo, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Orocovis,PR,"Orocovis, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Patillas,PR,"Patillas, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Penuelas,PR,"Penuelas, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Rincon,PR,"Rincon, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
San German,PR,"San German, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Utuado,PR,"Utuado, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Villalba,PR,"Villalba, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
Yauco,PR,"Yauco, PR",Micro,Metro,Vascular Surgery,75,100,40,60,County Change,40,35
St. Louis City,MO,"St. Louis City, MO",Metro,Large Metro,Inpatient Psychiatric Facility Services,45,70,15,30,County Change,40,30
Jackson,IL,"Jackson, IL",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,"Gynecology, OB/GYN",60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Mammography,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Nephrology,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Occupational Therapy,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Outpatient Infusion/Chemotherapy,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,"Physiatry, Rehabilitative Medicine (see Notes)",60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Physical Therapy,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Skilled Nursing Facilities,60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Surgical Services (Outpatient or ASC),60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,"Gynecology, OB/GYN",60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,Nephrology,60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,Outpatient Infusion/Chemotherapy,60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,Physical Therapy,60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,Skilled Nursing Facilities,60,80,30,45,County Change,35,30
Christian,KY,"Christian, KY",Micro,Metro,Surgical Services (Outpatient or ASC),60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,"Gynecology, OB/GYN",60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Mammography,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Nephrology,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Occupational Therapy,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Outpatient Infusion/Chemotherapy,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,"Physiatry, Rehabilitative Medicine (see Notes)",60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Physical Therapy,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Skilled Nursing Facilities,60,80,30,45,County Change,35,30
Rapides,LA,"Rapides, LA",Micro,Metro,Surgical Services (Outpatient or ASC),60,80,30,45,County Change,35,30
Jackson,IL,"Jackson, IL",Micro,Metro,Inpatient Psychiatric Facility Services,75,100,45,70,County Change,30,30
Christian,KY,"Christian, KY",Micro,Metro,Inpatient Psychiatric Facility Services,75,100,45,70,County Change,30,30
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Aibonito,PR,"Aibonito, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Anasco,PR,"Anasco, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Camuy,PR,"Camuy, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Cayey,PR,"Cayey, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Ceiba,PR,"Ceiba, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Ciales,PR,"Ciales, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Comerio,PR,"Comerio, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Corozal,PR,"Corozal, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Florida,PR,"Florida, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Guanica,PR,"Guanica, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Guayama,PR,"Guayama, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Hatillo,PR,"Hatillo, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Isabela,PR,"Isabela, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Lajas,PR,"Lajas, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Lares,PR,"Lares, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Luquillo,PR,"Luquillo, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Manati,PR,"Manati, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Maunabo,PR,"Maunabo, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Moca,PR,"Moca, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Morovis,PR,"Morovis, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Naguabo,PR,"Naguabo, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Orocovis,PR,"Orocovis, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Patillas,PR,"Patillas, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Penuelas,PR,"Penuelas, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Rincon,PR,"Rincon, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
San German,PR,"San German, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Utuado,PR,"Utuado, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Villalba,PR,"Villalba, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Yauco,PR,"Yauco, PR",Micro,Metro,Acute Inpatient Hospitals,60,80,30,45,County Change,35,30
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Aibonito,PR,"Aibonito, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Anasco,PR,"Anasco, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Camuy,PR,"Camuy, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Cayey,PR,"Cayey, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Ceiba,PR,"Ceiba, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Ciales,PR,"Ciales, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Comerio,PR,"Comerio, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Corozal,PR,"Corozal, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Florida,PR,"Florida, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Guanica,PR,"Guanica, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Guayama,PR,"Guayama, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Hatillo,PR,"Hatillo, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Isabela,PR,"Isabela, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Lajas,PR,"Lajas, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Lares,PR,"Lares, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Luquillo,PR,"Luquillo, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Manati,PR,"Manati, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Maunabo,PR,"Maunabo, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Moca,PR,"Moca, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Morovis,PR,"Morovis, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Naguabo,PR,"Naguabo, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Orocovis,PR,"Orocovis, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Patillas,PR,"Patillas, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Penuelas,PR,"Penuelas, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Rincon,PR,"Rincon, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
San German,PR,"San German, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Utuado,PR,"Utuado, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Villalba,PR,"Villalba, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Yauco,PR,"Yauco, PR",Micro,Metro,Allergy and Immunology,60,80,30,45,County Change,35,30
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Aibonito,PR,"Aibonito, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Anasco,PR,"Anasco, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Camuy,PR,"Camuy, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Cayey,PR,"Cayey, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Ceiba,PR,"Ceiba, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Ciales,PR,"Ciales, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Comerio,PR,"Comerio, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Corozal,PR,"Corozal, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Florida,PR,"Florida, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Guanica,PR,"Guanica, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Guayama,PR,"Guayama, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Hatillo,PR,"Hatillo, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Isabela,PR,"Isabela, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Lajas,PR,"Lajas, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Lares,PR,"Lares, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Luquillo,PR,"Luquillo, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Manati,PR,"Manati, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Maunabo,PR,"Maunabo, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Moca,PR,"Moca, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Morovis,PR,"Morovis, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Naguabo,PR,"Naguabo, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Orocovis,PR,"Orocovis, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Patillas,PR,"Patillas, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Penuelas,PR,"Penuelas, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Rincon,PR,"Rincon, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
San German,PR,"San German, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Utuado,PR,"Utuado, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Villalba,PR,"Villalba, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Yauco,PR,"Yauco, PR",Micro,Metro,Chiropractor,60,80,30,45,County Change,35,30
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Aibonito,PR,"Aibonito, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Anasco,PR,"Anasco, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Camuy,PR,"Camuy, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Cayey,PR,"Cayey, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Ceiba,PR,"Ceiba, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Ciales,PR,"Ciales, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Comerio,PR,"Comerio, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Corozal,PR,"Corozal, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Florida,PR,"Florida, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Guanica,PR,"Guanica, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Guayama,PR,"Guayama, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Hatillo,PR,"Hatillo, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Isabela,PR,"Isabela, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Lajas,PR,"Lajas, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Lares,PR,"Lares, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Luquillo,PR,"Luquillo, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Manati,PR,"Manati, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Maunabo,PR,"Maunabo, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Moca,PR,"Moca, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Morovis,PR,"Morovis, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Naguabo,PR,"Naguabo, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Orocovis,PR,"Orocovis, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Patillas,PR,"Patillas, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Penuelas,PR,"Penuelas, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Rincon,PR,"Rincon, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
San German,PR,"San German, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Utuado,PR,"Utuado, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Villalba,PR,"Villalba, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Yauco,PR,"Yauco, PR",Micro,Metro,Diagnostic Radiology,60,80,30,45,County Change,35,30
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Aibonito,PR,"Aibonito, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Anasco,PR,"Anasco, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Camuy,PR,"Camuy, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Cayey,PR,"Cayey, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Ceiba,PR,"Ceiba, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Ciales,PR,"Ciales, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Comerio,PR,"Comerio, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Corozal,PR,"Corozal, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Florida,PR,"Florida, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Guanica,PR,"Guanica, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Guayama,PR,"Guayama, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Hatillo,PR,"Hatillo, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Isabela,PR,"Isabela, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Lajas,PR,"Lajas, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Lares,PR,"Lares, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Luquillo,PR,"Luquillo, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Manati,PR,"Manati, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Maunabo,PR,"Maunabo, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Moca,PR,"Moca, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Morovis,PR,"Morovis, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Naguabo,PR,"Naguabo, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Orocovis,PR,"Orocovis, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Patillas,PR,"Patillas, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Penuelas,PR,"Penuelas, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Rincon,PR,"Rincon, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
San German,PR,"San German, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Utuado,PR,"Utuado, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Villalba,PR,"Villalba, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,ENT/Otolaryngology,60,80,30,45,County Change,35,30
